Year,Жасы,Аймақ,Өңірлер,Value
2013,10 жастан 14 жасқа дейін,қала,Оңтүстік Қазақстан,0.0
2013,10 жастан 14 жасқа дейін,қала,Павлодар,0.0775674837108284
2013,10 жастан 14 жасқа дейін,қала,Солтүстік Қазақстан,0.0
2013,10 жастан 14 жасқа дейін,қала,Шығыс Қазақстан,0.0531985636387817
2013,10 жастан 14 жасқа дейін,қала,Нұр-Сұлтан қаласы,0.0
2013,10 жастан 14 жасқа дейін,қала,Алматы қаласы,0.0288971406279348
2013,10 жастан 14 жасқа дейін,ауыл,,0.0443909476613653
2013,10 жастан 14 жасқа дейін,ауыл,Ақмола,0.0744269127716582
2013,10 жастан 14 жасқа дейін,ауыл,Ақтөбе,0.0901713255184851
2013,10 жастан 14 жасқа дейін,ауыл,Алматы,0.0391171264558905
2013,10 жастан 14 жасқа дейін,ауыл,Атырау,0.0
2013,10 жастан 14 жасқа дейін,ауыл,Батыс Қазақстан,0.0898714837781971
2013,10 жастан 14 жасқа дейін,ауыл,Жамбыл,0.0
2013,10 жастан 14 жасқа дейін,ауыл,Қарағанды,0.0
2013,10 жастан 14 жасқа дейін,ауыл,Қостанай,0.1412130198404293
2013,10 жастан 14 жасқа дейін,ауыл,Қызылорда,0.0550266879436526
2013,10 жастан 14 жасқа дейін,ауыл,Маңғыстау,0.0862849993528625
2013,10 жастан 14 жасқа дейін,ауыл,Оңтүстік Қазақстан,0.0129495937064974
2013,10 жастан 14 жасқа дейін,ауыл,Павлодар,0.1349800904366606
2013,10 жастан 14 жасқа дейін,ауыл,Солтүстік Қазақстан,0.0889323669349459
2013,10 жастан 14 жасқа дейін,ауыл,Шығыс Қазақстан,0.0535145693415032
2013,15-19,,,33.61561193920943
2013,,,Ақмола,31.21202916160389
2013,,,Ақтөбе,30.866878236178387
2013,,,Алматы,37.16566489998043
2013,,,Атырау,51.92388219420276
2013,,,Батыс Қазақстан,31.559062118013117
2013,,,Жамбыл,46.20394407250535
2013,,,Қарағанды,30.561409196520238
2013,,,Қостанай,29.647305529945587
2013,,,Қызылорда,28.17602239154097
2013,,,Маңғыстау,53.41390261115032
2013,,,Оңтүстік Қазақстан,37.75585696670777
2013,,,Павлодар,30.001714383679065
2013,,,Солтүстік Қазақстан,27.34794756071352
2013,,,Шығыс Қазақстан,26.450015404452454
2013,,,Нұр-Сұлтан қаласы,26.40558442427351
2013,,,Алматы қаласы,14.738082270953974
2013,,қала,,30.784273157448624
2013,,қала,Ақмола,31.363531846401468
2013,,қала,Ақтөбе,32.718822618125486
2013,,қала,Алматы,37.69821481998604
2013,,қала,Атырау,55.26128979413531
2013,,қала,Батыс Қазақстан,34.77985094349596
2013,,қала,Жамбыл,35.296937735962125
2013,,қала,Қарағанды,31.34268891938554
2013,,қала,Қостанай,28.228476821192054
2013,,қала,Қызылорда,30.1990391214825
2013,,қала,Маңғыстау,45.243834600407936
2013,,қала,Оңтүстік Қазақстан,38.465173424062
2013,,қала,Павлодар,27.79374471682164
2013,,қала,Солтүстік Қазақстан,25.8230012825994
2013,,қала,Шығыс Қазақстан,28.709811742532164
2013,,қала,Нұр-Сұлтан қаласы,26.40558442427351
2013,,қала,Алматы қаласы,14.738082270953974
2013,,ауыл,,36.29177883652456
2013,,ауыл,Ақмола,31.105506515342583
2013,,ауыл,Ақтөбе,28.700851603551367
2013,,ауыл,Алматы,37.017117635058696
2013,,ауыл,Атырау,49.44676366878775
2013,,ауыл,Батыс Қазақстан,29.22227335480902
2013,,ауыл,Жамбыл,52.88867668123554
2013,,ауыл,Қарағанды,28.42377260981912
2013,,ауыл,Қостанай,30.747504573611067
2013,,ауыл,Қызылорда,26.908778230191448
2013,,ауыл,Маңғыстау,60.82786471479051
2013,,ауыл,Оңтүстік Қазақстан,37.3774046340418
2013,,ауыл,Павлодар,33.82292702908304
2013,,ауыл,Солтүстік Қазақстан,28.04653531278154
2013,,ауыл,Шығыс Қазақстан,23.995429442011044
2014,10 жастан 14 жасқа дейін,,,0.0369105192343352
2014,10 жастан 14 жасқа дейін,,Ақмола,0.0864696599580622
2014,10 жастан 14 жасқа дейін,,Ақтөбе,0.0808717979822486
2014,10 жастан 14 жасқа дейін,,Алматы,0.0451814033343875
2014,10 жастан 14 жасқа дейін,,Атырау,0.0
2014,10 жастан 14 жасқа дейін,,Батыс Қазақстан,0.0
2014,10 жастан 14 жасқа дейін,,Жамбыл,0.0719165767709457
2014,10 жастан 14 жасқа дейін,,Қарағанды,0.0743153696570345
2014,10 жастан 14 жасқа дейін,,Қостанай,0.1195266743694968
2014,10 жастан 14 жасқа дейін,,Қызылорда,0.033963930306015
2014,10 жастан 14 жасқа дейін,,Маңғыстау,0.0
2014,10 жастан 14 жасқа дейін,,Оңтүстік Қазақстан,0.0
2014,10 жастан 14 жасқа дейін,,Павлодар,0.0
2014,10 жастан 14 жасқа дейін,,Солтүстік Қазақстан,0.0
2014,10 жастан 14 жасқа дейін,,Шығыс Қазақстан,0.0521030076461163
2014,10 жастан 14 жасқа дейін,,Нұр-Сұлтан қаласы,0.0953743443013829
2014,10 жастан 14 жасқа дейін,,Алматы қаласы,0.0
2014,10 жастан 14 жасқа дейін,қала,,0.0365290798872712
2014,10 жастан 14 жасқа дейін,қала,Ақмола,0.2083876009377442
2014,10 жастан 14 жасқа дейін,қала,Ақтөбе,0.0731314904197747
2014,10 жастан 14 жасқа дейін,қала,Алматы,0.0684017921269537
2014,10 жастан 14 жасқа дейін,қала,Атырау,0.0
2014,10 жастан 14 жасқа дейін,қала,Батыс Қазақстан,0.0
2014,10 жастан 14 жасқа дейін,қала,Жамбыл,0.0
2014,10 жастан 14 жасқа дейін,қала,Қарағанды,0.1013753252458351
2014,10 жастан 14 жасқа дейін,қала,Қостанай,0.0922892344608001
2014,10 жастан 14 жасқа дейін,қала,Қызылорда,0.0
2014,10 жастан 14 жасқа дейін,қала,Маңғыстау,0.0
2014,10 жастан 14 жасқа дейін,қала,Оңтүстік Қазақстан,0.0
2014,10 жастан 14 жасқа дейін,қала,Павлодар,0.0
2014,10 жастан 14 жасқа дейін,қала,Солтүстік Қазақстан,0.0
2014,10 жастан 14 жасқа дейін,қала,Шығыс Қазақстан,0.0
2014,10 жастан 14 жасқа дейін,қала,Нұр-Сұлтан қаласы,0.0953743443013829
2014,10 жастан 14 жасқа дейін,қала,Алматы қаласы,0.0
2014,10 жастан 14 жасқа дейін,ауыл,,0.037264261202145
2014,10 жастан 14 жасқа дейін,ауыл,Ақмола,0.0
2014,10 жастан 14 жасқа дейін,ауыл,Ақтөбе,0.0904445348889793
2014,10 жастан 14 жасқа дейін,ауыл,Алматы,0.0386253246941357
2014,10 жастан 14 жасқа дейін,ауыл,Атырау,0.0
2014,10 жастан 14 жасқа дейін,ауыл,Батыс Қазақстан,0.0
2014,10 жастан 14 жасқа дейін,ауыл,Жамбыл,0.1136988118474161
2014,10 жастан 14 жасқа дейін,ауыл,Қарағанды,0.0
2014,10 жастан 14 жасқа дейін,ауыл,Қостанай,0.1402180390507238
2014,10 жастан 14 жасқа дейін,ауыл,Қызылорда,0.0548696844993141
2014,10 жастан 14 жасқа дейін,ауыл,Маңғыстау,0.0
2014,10 жастан 14 жасқа дейін,ауыл,Оңтүстік Қазақстан,0.0
2014,10 жастан 14 жасқа дейін,ауыл,Павлодар,0.0
2014,10 жастан 14 жасқа дейін,ауыл,Солтүстік Қазақстан,0.0
2014,10 жастан 14 жасқа дейін,ауыл,Шығыс Қазақстан,0.1054741061069507
2014,15-19,,,34.4240799755831
2014,,,Ақмола,33.03104918623506
2014,,,Ақтөбе,31.70599891911367
2014,,,Алматы,39.74978719416482
2014,,,Атырау,45.463357890655296
2014,,,Батыс Қазақстан,32.38808461923728
2014,,,Жамбыл,50.15628582807352
2014,,,Қарағанды,32.00235544583607
2014,,,Қостанай,28.951187838973343
2014,,,Қызылорда,28.207179118852125
2014,,,Маңғыстау,53.81555484431439
2014,,,Оңтүстік Қазақстан,37.42960681899382
2014,,,Павлодар,30.0443837487197
2014,,,Солтүстік Қазақстан,29.48992713244749
2014,,,Шығыс Қазақстан,28.74603618161274
