Year,UNIT_MEASURE,Өңірлер,Аймақ,Жынысы,Value
2016,пайыз,Солтүстік Қазақстан,ауыл,,7.8
2016,пайыз,Түркістан,ауыл,,8.3
2017,пайыз,,,,6.4
2017,пайыз,Ақмола,,,6.1
2017,пайыз,Ақтөбе,,,4.8
2017,пайыз,Алматы,,,6.7
2017,пайыз,Атырау,,,7.2
2017,пайыз,Батыс Қазақстан,,,2.2
2017,пайыз,Жамбыл,,,9.3
2017,пайыз,Қарағанды,,,8.7
2017,пайыз,Қостанай,,,4.1
2017,пайыз,Қызылорда,,,6.4
2017,пайыз,Маңғыстау,,,6.6
2017,пайыз,Оңтүстік Қазақстан,,,9.0
2017,пайыз,Павлодар,,,4.5
2017,пайыз,Солтүстік Қазақстан,,,6.6
2017,пайыз,Шығыс Қазақстан,,,5.9
2017,пайыз,Нұр-Сұлтан қаласы,,,4.1
2017,пайыз,Алматы қаласы,,,4.0
2017,пайыз,,,ерлер,5.1
2017,пайыз,Ақмола,,ерлер,4.6
2017,пайыз,Ақтөбе,,ерлер,2.1
2017,пайыз,Алматы,,ерлер,6.5
2017,пайыз,Атырау,,ерлер,5.0
2017,пайыз,Батыс Қазақстан,,ерлер,1.9
2017,пайыз,Жамбыл,,ерлер,5.9
2017,пайыз,Қарағанды,,ерлер,6.4
2017,пайыз,Қостанай,,ерлер,3.5
2017,пайыз,Қызылорда,,ерлер,5.5
2017,пайыз,Маңғыстау,,ерлер,3.6
2017,пайыз,Оңтүстік Қазақстан,,ерлер,8.2
2017,пайыз,Павлодар,,ерлер,4.8
2017,пайыз,Солтүстік Қазақстан,,ерлер,3.3
2017,пайыз,Шығыс Қазақстан,,ерлер,3.5
2017,пайыз,Нұр-Сұлтан қаласы,,ерлер,3.8
2017,пайыз,Алматы қаласы,,ерлер,3.3
2017,пайыз,,,әйелдер,7.6
2017,пайыз,Ақмола,,әйелдер,7.8
2017,пайыз,Ақтөбе,,әйелдер,7.6
2017,пайыз,Алматы,,әйелдер,6.9
2017,пайыз,Атырау,,әйелдер,10.0
2017,пайыз,Батыс Қазақстан,,әйелдер,2.4
2017,пайыз,Жамбыл,,әйелдер,13.0
2017,пайыз,Қарағанды,,әйелдер,11.0
2017,пайыз,Қостанай,,әйелдер,4.6
2017,пайыз,Қызылорда,,әйелдер,7.3
2017,пайыз,Маңғыстау,,әйелдер,9.7
2017,пайыз,Оңтүстік Қазақстан,,әйелдер,9.8
2017,пайыз,Павлодар,,әйелдер,4.2
2017,пайыз,Солтүстік Қазақстан,,әйелдер,10.3
2017,пайыз,Шығыс Қазақстан,,әйелдер,8.5
2017,пайыз,Нұр-Сұлтан қаласы,,әйелдер,4.3
2017,пайыз,Алматы қаласы,,әйелдер,4.6
2017,пайыз,,қала,,4.9
2017,пайыз,Ақмола,қала,,4.7
2017,пайыз,Ақтөбе,қала,,4.2
2017,пайыз,Алматы,қала,,6.0
2017,пайыз,Атырау,қала,,8.3
2017,пайыз,Батыс Қазақстан,қала,,1.2
2017,пайыз,Жамбыл,қала,,8.2
2017,пайыз,Қарағанды,қала,,8.5
2017,пайыз,Қостанай,қала,,4.4
2017,пайыз,Қызылорда,қала,,5.5
2017,пайыз,Маңғыстау,қала,,6.0
2017,пайыз,Оңтүстік Қазақстан,қала,,4.1
2017,пайыз,Павлодар,қала,,2.0
2017,пайыз,Солтүстік Қазақстан,қала,,8.1
2017,пайыз,Шығыс Қазақстан,қала,,4.6
2017,пайыз,Нұр-Сұлтан қаласы,қала,,4.1
2017,пайыз,Алматы қаласы,қала,,4.0
2017,пайыз,,ауыл,,8.4
2017,пайыз,Ақмола,ауыл,,7.5
2017,пайыз,Ақтөбе,ауыл,,6.2
2017,пайыз,Алматы,ауыл,,6.9
2017,пайыз,Атырау,ауыл,,6.3
2017,пайыз,Батыс Қазақстан,ауыл,,3.1
2017,пайыз,Жамбыл,ауыл,,10.0
2017,пайыз,Қарағанды,ауыл,,9.8
2017,пайыз,Қостанай,ауыл,,3.7
2017,пайыз,Қызылорда,ауыл,,6.9
2017,пайыз,Маңғыстау,ауыл,,7.1
2017,пайыз,Оңтүстік Қазақстан,ауыл,,13.2
2017,пайыз,Павлодар,ауыл,,11.3
2017,пайыз,Солтүстік Қазақстан,ауыл,,5.3
2017,пайыз,Түркістан,ауыл,,8.4
2018,пайыз,,,,6.0
2018,пайыз,Ақмола,,,4.4
2018,пайыз,Ақтөбе,,,6.5
2018,пайыз,Алматы,,,6.1
2018,пайыз,Атырау,,,5.7
2018,пайыз,Батыс Қазақстан,,,2.1
