Year,UNIT_MEASURE,SERIES,Регионы,Value
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Павлодарская,5.0
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Северо-Казахстанская,17.8
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Восточно-Казахстанская,28.5
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,г_Нур-Султан,23.7
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,г_Алматы,29.5
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,,837.7
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Акмолинская,68.5
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Актюбинская,42.0
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Алматинская,104.6
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Атырауская,44.7
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Западно-Казахстанская,22.6
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Жымбылская,37.1
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Карагандинская,74.6
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Костанайская,46.0
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Кызылординская,24.8
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Мангистауская,21.5
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Южно-Казахстанская,60.0
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Павлодарская,44.1
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Северо-Казахстанская,39.7
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Восточно-Казахстанская,53.0
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,г_Нур-Султан,58.5
2016,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,г_Алматы,95.9
2016,тыс.единиц,выше 10 Мбит/сек,Акмолинская,24.7
2016,тыс.единиц,выше 10 Мбит/сек,Актюбинская,22.4
2016,тыс.единиц,выше 10 Мбит/сек,Алматинская,26.2
2016,тыс.единиц,выше 10 Мбит/сек,Атырауская,21.1
2016,тыс.единиц,выше 10 Мбит/сек,Западно-Казахстанская,15.0
2016,тыс.единиц,выше 10 Мбит/сек,Жымбылская,13.7
2016,тыс.единиц,выше 10 Мбит/сек,Карагандинская,73.0
2016,тыс.единиц,выше 10 Мбит/сек,Костанайская,39.0
2016,тыс.единиц,выше 10 Мбит/сек,Кызылординская,11.4
2016,тыс.единиц,выше 10 Мбит/сек,Мангистауская,27.2
2016,тыс.единиц,выше 10 Мбит/сек,Южно-Казахстанская,21.6
2016,тыс.единиц,выше 10 Мбит/сек,Павлодарская,50.1
2016,тыс.единиц,выше 10 Мбит/сек,Северо-Казахстанская,23.5
2016,тыс.единиц,выше 10 Мбит/сек,Восточно-Казахстанская,51.6
2016,тыс.единиц,выше 10 Мбит/сек,г_Нур-Султан,77.6
2016,тыс.единиц,выше 10 Мбит/сек,г_Алматы,728.9
2017,тыс.единиц,,,2576.0
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,71.3
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,3.8
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,3.2
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Алматинская,1.2
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Атырауская,4.2
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Западно-Казахстанская,1.6
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Жымбылская,0.8
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Карагандинская,1.6
