Year,UNIT_MEASURE,SERIES,Регионы,GeoCode,Value
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Кызылординская,,104.3
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Кызылординская,,104.6
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Кызылординская,,104.5
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Мангистауская,,136.9
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Мангистауская,,182.0
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Мангистауская,,203.7
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Мангистауская,,211.1
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Мангистауская,,214.0
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Мангистауская,,225.3
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Мангистауская,,216.4
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Мангистауская,,236.5
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Мангистауская,,236.1
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Южно-Казахстанская,,77.5
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Южно-Казахстанская,,106.5
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Южно-Казахстанская,,123.8
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Южно-Казахстанская,,133.0
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Южно-Казахстанская,,145.4
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Южно-Казахстанская,,155.0
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Южно-Казахстанская,,158.7
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодарская,,57.8
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодарская,,70.2
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодарская,,76.6
