Year,UNIT_MEASURE,SERIES,REF_AREA,GeoCode,Value
2010,M_T,_L_KZ_090102_1J,KZVOS,,327.1
2011,M_T,_L_KZ_090102_1J,KZVOS,,417.9
2012,M_T,_L_KZ_090102_1J,KZVOS,,476.6
2013,M_T,_L_KZ_090102_1J,KZVOS,,553.3
2014,M_T,_L_KZ_090102_1J,KZVOS,,595.1
2015,M_T,_L_KZ_090102_1J,KZVOS,,598.3
2016,M_T,_L_KZ_090102_1J,KZVOS,,581.9
2017,M_T,_L_KZ_090102_1J,KZVOS,,600.2
2018,M_T,_L_KZ_090102_1J,KZVOS,,627.9
2010,M_T,_L_KZ_090102_1J,KZNS,,66.7
2011,M_T,_L_KZ_090102_1J,KZNS,,97.2
2012,M_T,_L_KZ_090102_1J,KZNS,,112.6
2013,M_T,_L_KZ_090102_1J,KZNS,,124.1
2014,M_T,_L_KZ_090102_1J,KZNS,,136.7
2015,M_T,_L_KZ_090102_1J,KZNS,,142.5
2016,M_T,_L_KZ_090102_1J,KZNS,,142.6
2018,M_T,_L_KZ_090102_1J,KZNS,,153.1
2010,M_T,_L_KZ_090102_1J,KZALA,,142.4
2011,M_T,_L_KZ_090102_1J,KZALA,,155.6
2012,M_T,_L_KZ_090102_1J,KZALA,,168.3
2013,M_T,_L_KZ_090102_1J,KZALA,,194.4
2014,M_T,_L_KZ_090102_1J,KZALA,,216.8
2015,M_T,_L_KZ_090102_1J,KZALA,,232.1
2016,M_T,_L_KZ_090102_1J,KZALA,,252.2
2017,M_T,_L_KZ_090102_1J,KZALA,,254.5
2018,M_T,_L_KZ_090102_1J,KZALA,,255.7
2018,M_T,_L_KZ_090102_1J,KZSHY,,116.3
2010,T,_L_KZ_090102_1K,,,28869.7
2011,T,_L_KZ_090102_1K,,,31554.9
2012,T,_L_KZ_090102_1K,,,21954.2
2013,T,_L_KZ_090102_1K,,,23873.5
2014,T,_L_KZ_090102_1K,,,19082.4
2015,T,_L_KZ_090102_1K,,,17178.2
2016,T,_L_KZ_090102_1K,,,18015.9
2017,T,_L_KZ_090102_1K,,,22449.9
2018,T,_L_KZ_090102_1K,,,29135.5
2012,T,,KZZAP,KZ07,183.0
2013,T,,KZZAP,KZ07,227.2
2014,T,,KZZAP,KZ07,239.4
2015,T,,KZZAP,KZ07,131.0
2018,T,,KZZAP,KZ07,793.0
2010,T,,KZKAR,KZ12,9.2
2011,T,,KZKAR,KZ12,6.6
2010,T,,KZONT,KZ10,737.0
2011,T,,KZONT,KZ10,583.0
2012,T,,KZONT,KZ10,768.0
2010,T,,KZVOS,KZ15,32.5
2011,T,,KZVOS,KZ15,44.0
2012,T,,KZVOS,KZ15,5.8
2013,T,,KZVOS,KZ15,1062.0
2014,T,,KZVOS,KZ15,978.0
2010,T,,KZALA,KZ02,28091.0
2011,T,,KZALA,KZ02,30921.3
2012,T,,KZALA,KZ02,20997.4
2013,T,,KZALA,KZ02,22584.3
2014,T,,KZALA,KZ02,17865.0
2015,T,,KZALA,KZ02,15956.2
2016,T,,KZALA,KZ02,16810.9
2017,T,,KZALA,KZ02,20345.2
2018,T,,KZALA,KZ02,25651.2
2018,T,,KZSHY,KZ18,2691.3
