Year,UNIT_MEASURE,REF_AREA,SEX,URBANISATION,AGE,Value
2014,PT,KZPAV,,,Y_GE65,97.3
2014,PT,KZSEV,,,Y15,100.0
2014,PT,KZSEV,,,Y16T24,39.7
2014,PT,KZSEV,,,M25T28,28.8
2014,PT,KZSEV,,,M29T34,30.9
2014,PT,KZSEV,,,Y35T44,31.1
2014,PT,KZSEV,,,Y45T54,32.2
2014,PT,KZSEV,,,Y55T64,48.2
2014,PT,KZSEV,,,Y_GE65,92.7
2014,PT,KZVOS,,,Y15,100.0
2014,PT,KZVOS,,,Y16T24,42.0
2014,PT,KZVOS,,,M25T28,28.6
2014,PT,KZVOS,,,M29T34,28.2
2014,PT,KZVOS,,,Y35T44,29.2
2014,PT,KZVOS,,,Y45T54,33.0
2014,PT,KZVOS,,,Y55T64,41.3
2014,PT,KZVOS,,,Y_GE65,80.3
2014,PT,KZNS,,,Y16T24,36.9
2014,PT,KZNS,,,M25T28,22.9
2014,PT,KZNS,,,M29T34,20.7
2014,PT,KZNS,,,Y35T44,21.8
2014,PT,KZNS,,,Y45T54,21.2
2014,PT,KZNS,,,Y55T64,11.9
2014,PT,KZNS,,,Y_GE65,35.6
2014,PT,KZALA,,,Y16T24,16.7
2014,PT,KZALA,,,M25T28,14.0
2014,PT,KZALA,,,M29T34,14.5
2014,PT,KZALA,,,Y35T44,16.1
2014,PT,KZALA,,,Y45T54,12.0
2014,PT,KZALA,,,Y55T64,13.2
2014,PT,KZALA,,,Y_GE65,29.7
2015,PT,,,,,22.9
2015,PT,KZAKM,,,,23.3
2015,PT,KZAKT,,,,19.3
2015,PT,KZALM,,,,26.3
2015,PT,KZATY,,,,7.0
2015,PT,KZZAP,,,,31.0
2015,PT,KZZHA,,,,36.8
2015,PT,KZKAR,,,,22.6
2015,PT,KZKUS,,,,38.1
2015,PT,KZKZY,,,,23.1
2015,PT,KZMAN,,,,5.4
2015,PT,KZONT,,,,15.4
2015,PT,KZPAV,,,,25.9
