Year,UNIT_MEASURE,REF_AREA,URBANISATION,SEX,AGE,Value
2012,PT,KZKAR,,M,,3.7
2012,PT,KZKUS,,M,,4.2
2012,PT,KZKZY,,M,,4.0
2012,PT,KZMAN,,M,,5.0
2012,PT,KZONT,,M,,4.4
2012,PT,KZPAV,,M,,4.1
2012,PT,KZSEV,,M,,4.1
2012,PT,KZVOS,,M,,4.5
2012,PT,KZNS,,M,,5.5
2012,PT,KZALA,,M,,3.0
2012,PT,,,F,,6.5
2012,PT,KZAKM,,F,,6.6
2012,PT,KZAKT,,F,,6.9
2012,PT,KZALM,,F,,6.5
2012,PT,KZATY,,F,,6.1
2012,PT,KZZAP,,F,,5.1
2012,PT,KZZHA,,F,,5.6
2012,PT,KZKAR,,F,,6.6
2012,PT,KZKUS,,F,,6.3
2012,PT,KZKZY,,F,,6.8
2012,PT,KZMAN,,F,,6.5
2012,PT,KZONT,,F,,7.0
2012,PT,KZPAV,,F,,5.8
2012,PT,KZSEV,,F,,6.3
2012,PT,KZVOS,,F,,5.7
2012,PT,KZNS,,F,,5.9
2012,PT,KZALA,,F,,8.0
2012,PT,,U,,,5.6
2012,PT,KZAKM,U,,,4.8
2012,PT,KZAKT,U,,,5.4
2012,PT,KZALM,U,,,4.4
2012,PT,KZATY,U,,,4.4
2012,PT,KZZAP,U,,,5.0
2012,PT,KZZHA,U,,,6.8
2012,PT,KZKAR,U,,,5.1
2012,PT,KZKUS,U,,,7.1
2012,PT,KZKZY,U,,,5.0
2012,PT,KZMAN,U,,,4.8
2012,PT,KZONT,U,,,6.5
2012,PT,KZPAV,U,,,5.5
2012,PT,KZSEV,U,,,5.6
2012,PT,KZVOS,U,,,5.5
2012,PT,KZNS,U,,,5.7
2012,PT,KZALA,U,,,5.6
2012,PT,,R,,,5.0
2012,PT,KZAKM,R,,,5.8
2012,PT,KZAKT,R,,,4.2
2012,PT,KZALM,R,,,5.2
2012,PT,KZATY,R,,,5.5
2012,PT,KZZAP,R,,,5.2
2012,PT,KZZHA,R,,,4.6
2012,PT,KZKAR,R,,,5.3
2012,PT,KZKUS,R,,,3.5
2012,PT,KZKZY,R,,,5.6
2012,PT,KZMAN,R,,,6.7
2012,PT,KZONT,R,,,5.1
2012,PT,KZPAV,R,,,3.9
2012,PT,KZSEV,R,,,5.0
2012,PT,KZVOS,R,,,4.5
2012,PT,,,,Y16T24,4.0
2012,PT,,,,M25T28,7.0
2012,PT,,,,M29T34,6.0
2012,PT,,,,Y35T44,5.1
2012,PT,,,,Y45T54,4.9
2012,PT,,,,Y55T64,5.1
2012,PT,KZAKM,,,Y16T24,3.7
2012,PT,KZAKM,,,M25T28,7.0
2012,PT,KZAKM,,,M29T34,7.4
2012,PT,KZAKM,,,Y35T44,4.8
2012,PT,KZAKM,,,Y45T54,4.3
2012,PT,KZAKM,,,Y55T64,6.0
2012,PT,KZAKT,,,Y16T24,2.3
2012,PT,KZAKT,,,M25T28,6.8
2012,PT,KZAKT,,,M29T34,7.2
2012,PT,KZAKT,,,Y35T44,4.0
2012,PT,KZAKT,,,Y45T54,4.1
2012,PT,KZAKT,,,Y55T64,3.8
2012,PT,KZALM,,,Y16T24,1.9
2012,PT,KZALM,,,M25T28,6.0
2012,PT,KZALM,,,M29T34,4.7
2012,PT,KZALM,,,Y35T44,6.3
2012,PT,KZALM,,,Y45T54,5.4
2012,PT,KZALM,,,Y55T64,6.5
2012,PT,KZATY,,,Y16T24,1.0
2012,PT,KZATY,,,M25T28,6.8
2012,PT,KZATY,,,M29T34,5.9
2012,PT,KZATY,,,Y35T44,3.5
2012,PT,KZATY,,,Y45T54,5.8
2012,PT,KZATY,,,Y55T64,10.3
2012,PT,KZZAP,,,Y16T24,5.0
2012,PT,KZZAP,,,M25T28,9.2
2012,PT,KZZAP,,,M29T34,6.7
2012,PT,KZZAP,,,Y35T44,4.5
2012,PT,KZZAP,,,Y45T54,3.9
2012,PT,KZZAP,,,Y55T64,4.8
2012,PT,KZZHA,,,Y16T24,5.6
2012,PT,KZZHA,,,M25T28,10.9
2012,PT,KZZHA,,,M29T34,2.8
2012,PT,KZZHA,,,Y35T44,3.7
2012,PT,KZZHA,,,Y45T54,3.8
2012,PT,KZZHA,,,Y55T64,9.6
2012,PT,KZKAR,,,Y16T24,4.8
2012,PT,KZKAR,,,M25T28,5.4
2012,PT,KZKAR,,,M29T34,6.2
2012,PT,KZKAR,,,Y35T44,5.6
