Year,UNIT_MEASURE,REF_AREA,URBANISATION,AGE,Value
2013,PT,KZKUS,,Y16T24,56.2
2013,PT,KZKUS,,M25T28,44.3
2013,PT,KZKUS,,M29T34,35.4
2013,PT,KZKUS,,Y35T44,27.3
2013,PT,KZKUS,,Y45T54,37.0
2013,PT,KZKUS,,Y55T64,17.6
2013,PT,KZKZY,,Y16T24,0.0
2013,PT,KZKZY,,M25T28,0.0
2013,PT,KZKZY,,M29T34,35.1
2013,PT,KZKZY,,Y35T44,34.6
2013,PT,KZKZY,,Y45T54,26.8
2013,PT,KZKZY,,Y55T64,44.9
2013,PT,KZMAN,,Y16T24,0.0
2013,PT,KZMAN,,M25T28,10.3
2013,PT,KZMAN,,M29T34,24.7
2013,PT,KZMAN,,Y35T44,43.5
2013,PT,KZMAN,,Y45T54,28.1
2013,PT,KZMAN,,Y55T64,12.1
2013,PT,KZONT,,Y16T24,32.6
2013,PT,KZONT,,M25T28,3.0
2013,PT,KZONT,,M29T34,47.2
2013,PT,KZONT,,Y35T44,34.9
2013,PT,KZONT,,Y45T54,32.3
2013,PT,KZONT,,Y55T64,26.7
2013,PT,KZPAV,,Y16T24,45.9
2013,PT,KZPAV,,M25T28,17.2
2013,PT,KZPAV,,M29T34,41.9
2013,PT,KZPAV,,Y35T44,34.4
2013,PT,KZPAV,,Y45T54,47.6
2013,PT,KZPAV,,Y55T64,31.2
2013,PT,KZSEV,,Y16T24,0.0
2013,PT,KZSEV,,M25T28,51.7
2013,PT,KZSEV,,M29T34,13.2
2013,PT,KZSEV,,Y35T44,22.5
2013,PT,KZSEV,,Y45T54,34.3
2013,PT,KZSEV,,Y55T64,33.4
2013,PT,KZVOS,,Y16T24,46.1
2013,PT,KZVOS,,M25T28,23.5
2013,PT,KZVOS,,M29T34,25.9
2013,PT,KZVOS,,Y35T44,43.0
2013,PT,KZVOS,,Y45T54,38.3
2013,PT,KZVOS,,Y55T64,37.8
2013,PT,KZNS,,Y16T24,74.3
2013,PT,KZNS,,M25T28,42.8
2013,PT,KZNS,,M29T34,47.1
2013,PT,KZNS,,Y35T44,46.3
2013,PT,KZNS,,Y45T54,46.9
2013,PT,KZNS,,Y55T64,27.7
2013,PT,KZNS,,Y_GE65,0.0
2013,PT,KZALA,,Y16T24,62.3
2013,PT,KZALA,,M25T28,53.6
2013,PT,KZALA,,M29T34,32.5
2013,PT,KZALA,,Y35T44,46.4
2013,PT,KZALA,,Y45T54,32.7
2013,PT,KZALA,,Y55T64,22.1
2014,PT,,,,34.8
2014,PT,KZAKM,,,34.8
2014,PT,KZAKT,,,37.6
2014,PT,KZALM,,,26.5
2014,PT,KZATY,,,25.4
2014,PT,KZZAP,,,30.6
2014,PT,KZZHA,,,22.8
2014,PT,KZKAR,,,35.7
2014,PT,KZKUS,,,38.6
