Year,UNIT_MEASURE,SERIES,REF_AREA,Value
2016,TH_TNG,_L_KZ_070b01_1B,KZKAR,94223145.0
2017,TH_TNG,_L_KZ_070b01_1B,KZKAR,89716426.0
2018,TH_TNG,_L_KZ_070b01_1B,KZKAR,168727302.0
2010,TH_TNG,_L_KZ_070b01_1B,KZKUS,4053809.0
2011,TH_TNG,_L_KZ_070b01_1B,KZKUS,5100211.0
2012,TH_TNG,_L_KZ_070b01_1B,KZKUS,5208528.0
2013,TH_TNG,_L_KZ_070b01_1B,KZKUS,18428042.0
2014,TH_TNG,_L_KZ_070b01_1B,KZKUS,8582291.0
2015,TH_TNG,_L_KZ_070b01_1B,KZKUS,7872163.0
2016,TH_TNG,_L_KZ_070b01_1B,KZKUS,8634858.0
2017,TH_TNG,_L_KZ_070b01_1B,KZKUS,10431932.0
2018,TH_TNG,_L_KZ_070b01_1B,KZKUS,13120408.0
